run	library	sample	include	project	date
CCA01-02	CCA0465	CCA0465	Y	CCA	
CCA01-02	CCA0525	CCA0525	Y	CCA	
CCA01-02	CCA0572	CCA0572	Y	CCA	
CCA01-02	CCA0650	CCA0650	Y	CCA	
CCA01-02	CCA0672	CCA0672	Y	CCA	
CCA01-02	CCA0677	CCA0677	Y	CCA	
CCA01-02	CCA0687	CCA0687	Y	CCA	
CCA01-02	CCA0691	CCA0691	Y	CCA	
CCA01-02	CCA0704	CCA0704-rep1	Y	CCA	
CCA01-02	CCA0704rep	CCA0704-rep2	Y	CCA	
CCA01-02	CCA0704	CCA0704	Y	CCA	
CCA01-02	CCA0704rep	CCA0704	Y	CCA	
CCA01-02	CCA0708	CCA0708	Y	CCA	
CCA01-02	CCA0724	CCA0724	Y	CCA	
CCA01-02	CCA0728	CCA0728	Y	CCA	
CCA01-02	CCA0733	CCA0733	Y	CCA	
CCA01-02	CCA0743	CCA0743	Y	CCA	
CCA01-02	CCA0751	CCA0751	Y	CCA	
CCA01-02	CCA0768	CCA0768	Y	CCA	
CCA01-02	CCA0807	CCA0807	Y	CCA	
CCA01-02	CCA0819	CCA0819	Y	CCA	
CCA01-02	CCA0848	CCA0848	Y	CCA	
CCA01-02	CCA0941	CCA0941	Y	CCA	
CCA01-02	CCA0971	CCA0971	Y	CCA	
CCA01-02	CCA1085	CCA1085	Y	CCA	
CCA01-02	CCA1478	CCA1478	Y	CCA	
CCA01-02	CCA1543	CCA1543	Y	CCA	
CCA01-02	CCA1657	CCA1657	Y	CCA	
CCA01-02	CCA2857	CCA2857	Y	CCA	
CCA01-02	CCA2917	CCA2917	Y	CCA	
CCA01-02	CCA3041	CCA3041	Y	CCA	
CCA01-02	CCA3841	CCA3841	Y	CCA	
CCA01-02	CCA3887	CCA3887	Y	CCA	
CCA01-02	CCA4821	CCA4821	Y	CCA	
2021-08_ac-colin_test_miseq	CCA0478	CCA0478	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0499	CCA0499	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0525	CCA0525	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0572-rep1	CCA0572-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0572-rep2	CCA0572-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0651	CCA0651	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0672	CCA0672	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0677	CCA0677	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0687	CCA0687	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0704	CCA0704	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0709	CCA0709	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0713	CCA0713	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0716	CCA0716	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0728	CCA0728	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0733	CCA0733	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0742	CCA0742	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0743	CCA0743	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0749	CCA0749	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0751	CCA0751	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0762	CCA0762	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0768	CCA0768	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0773	CCA0773	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0783	CCA0783	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0786	CCA0786	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0800	CCA0800	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0804-rep1	CCA0804-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0804-rep2	CCA0804-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0807-rep1	CCA0807-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0807-rep2	CCA0807-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0823	CCA0823	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0835	CCA0835	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0841	CCA0841	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0848	CCA0848	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0858	CCA0858	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0859	CCA0859	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0863	CCA0863	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0895	CCA0895	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0923	CCA0923	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0927	CCA0927	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0941	CCA0941	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0949	CCA0949	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0956	CCA0956	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0971	CCA0971	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA0980	CCA0980	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1033	CCA1033	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1130	CCA1130	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1135	CCA1135	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1139	CCA1139	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1184	CCA1184	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1212	CCA1212	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1266	CCA1266	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1302	CCA1302	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1342	CCA1342	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1372	CCA1372	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1419	CCA1419	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1435	CCA1435	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1496	CCA1496	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1515	CCA1515	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1523	CCA1523	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1543	CCA1543	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1557	CCA1557	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1563	CCA1563	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1565	CCA1565	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1574	CCA1574	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1581	CCA1581	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1587	CCA1587	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1590-rep1	CCA1590-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1590-rep2	CCA1590-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1592	CCA1592	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1594	CCA1594	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1598	CCA1598	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1605	CCA1605	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1620	CCA1620	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1635	CCA1635	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1643	CCA1643	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1644	CCA1644	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1657	CCA1657	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1670	CCA1670	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1676	CCA1676	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1684	CCA1684	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA1692	CCA1692	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA2961	CCA2961	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA2978	CCA2978	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3053	CCA3053	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3065	CCA3065	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3074	CCA3074	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3085	CCA3085	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3108	CCA3108	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3118	CCA3118	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3154	CCA3154	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3160	CCA3160	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3176	CCA3176	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3180	CCA3180	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3184	CCA3184	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3190	CCA3190	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3199-rep1	CCA3199-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3199-rep2	CCA3199-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3209	CCA3209	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3228	CCA3228	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3238	CCA3238	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3239	CCA3239	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3254	CCA3254	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3315	CCA3315	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3325	CCA3325	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3329	CCA3329	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3337	CCA3337	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3345	CCA3345	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3409	CCA3409	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3492	CCA3492	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3550-rep1	CCA3550-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3550-rep2	CCA3550-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3711	CCA3711	Y	AC_Phylo	4/08/2021
